observ,profile1,profile2,profile3,profile4,profile5,profile6,profile7,profile8,profile9,profile10,profile11,profile12,profile13,profile14,profile15,profile16,profile17,profile18,profile19,profile20,profile21,profile22,profile23,profile24,profile25
263,-4200,-4700,-5400,-3350,-5800,-3650,-2350,-5850,-2550,-2100,-3650,-6100,-4800,-5000,-3100,-5950,-5200,-3100,-5850,-6750,-2300,-6750,-3150,-3550,-5150
264,-4200,-4700,-5450,-3350,-5800,-3700,-2350,-5900,-2550,-2100,-3650,-6150,-4850,-4650,-3100,-5900,-5150,-3100,-5850,-6700,-2300,-6700,-3150,-3600,-5150
265,-4200,-4750,-5450,-3350,-5800,-3700,-2350,-5900,-2200,-1550,-3650,-6150,-4850,-4550,-3100,-5900,-5150,-3100,-6300,-6700,-2350,-6700,-3050,-3600,-5150
266,-3650,-4750,-5450,-3350,-5800,-3750,-2350,-5950,-2200,-1550,-3650,-6200,-4850,-4550,-3100,-3800,-5700,-3150,-6300,-6650,-2350,-6650,-3050,-3700,-5400
267,-3650,-4750,-5050,-3400,-5800,-3750,-4550,-5950,-2150,-1600,-3650,-6200,-4900,-4550,-3150,-3800,-5700,-3150,-6000,-6650,-2400,-6650,-3100,-3700,-5400
268,-3650,-4750,-5050,-3400,-5800,-3800,-4550,-6000,-2150,-1600,-3700,-6250,-4900,-4600,-3150,-3800,-5650,-3150,-6000,-6600,-2400,-6600,-3100,-4200,-5400
269,-3650,-4750,-5050,-3400,-5800,-3800,-3950,-6000,-2100,-1650,-3700,-6250,-4900,-4600,-3150,-3800,-5650,-3150,-6750,-6600,-1900,-6600,-3700,-4200,-5400
270,-3650,-4800,-5100,-3400,-4400,-3850,-3950,-6050,-2100,-1650,-3700,-5950,-4950,-4600,-3150,-3750,-5600,-3200,-6750,-6550,-1900,-6550,-3700,-4150,-5450
271,-3650,-4800,-5100,-3450,-4400,-3850,-3950,-6050,-2050,-1700,-3700,-5950,-4950,-4350,-3200,-3750,-5600,-3200,-6700,-6550,-1950,-6550,-3650,-4150,-5450
272,-3700,-4800,-5100,-3450,-4350,-3900,-3950,-6100,-2050,-1700,-3700,-7200,-4950,-4400,-3200,-3750,-5550,-3200,-6700,-6150,-1950,-6150,-3650,-4100,-5450
